	APL	CO2	COBL9	COR	E30	GL2	PET111	S17	S18	S32	S4	SCOL	SCR	WER	WOL	WOX5	Elong	Mat	Mer	Wrt	CHX	MOCK
AT2G18560	0.057153567	0.379374633	0.063304933	0.040185667	0.052756667	0.0180877	0.011135067	2.584286667	0	0.011131267	1.662313667	0.0778173	0.0230167	0	0.0159087	0.0968299	0.0370323	2.025576667	0.044325667	7.635133333	0.081239333	10.63155
AT2G18570	0.512908	0.1701088	0.031493333	0.034937667	0.180709333	0.015091933	0.066557567	6.971026667	0	0.096131767	2.32503	0.877068	0	0.021000267	0.033441667	0.039424667	0.102500467	2.664656667	0.0302974	11.6433	0.197958667	13.9004
AT2G18590	0.0140504	0	0	0.098697	0	0	0.108097867	0	0	0.013825933	0	0	0.018943033	0	0.020733933	0	0	0	0	0	0	0
AT2G18600	4.997093333	1.25871	2.0907	1.421380667	1.236134333	1.484433667	2.635311667	2.628963333	1.641984	1.106933333	0.866056667	2.71923	1.238985667	1.021722667	0.322709333	1.204308333	1.155226667	2.029943333	1.350012	1.231776667	1.832766667	2.21314
AT2G18610	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT2G18620	1.966696667	7.375413333	4.734426667	11.49181667	1.109116	3.25462	0.935396333	10.95989333	1.34348	1.052628667	1.553056667	4.151023333	3.74466	2.35231	1.99849	2.049495	2.704853333	1.033383667	2.323903333	3.647326667	1.571243333	2.864926667
AT2G18630	9.89341	23.23093333	24.72066667	30.52273333	6.878056667	18.8098	27.21476667	26.837	69.5764	14.76066667	18.41553333	21.88436667	24.72796667	18.9459	17.88426667	17.02596667	33.05773333	18.09433333	43.14656667	28.67406667	35.1767	17.2407
AT2G18640	0.334351667	0.096539467	7.53276	0.110676667	0.0293094	0.319162	0.476484333	0.720732333	3.00587	0.3757529	0.133896	0.596542333	0.333224467	0.583149333	0.312923667	0.036662667	1.366483333	2.28618	0.0138082	0.985326333	0.276116667	0.941038
AT2G18650	1.432205	0.1611743	23.01783333	1.026362333	0.946822	11.90586667	3.583268667	0.491719567	3.422023333	0.979907333	0.572280333	4.894323333	4.719683333	11.02026667	4.890693333	0.175121	6.494	5.84753	1.139162333	5.575256667	11.87310333	6.358123333
AT2G18660	0	0	0	0	0	0	0	0	0	0	0	0	0	0.046505	0	0	0	4.351976667	0	0	29.09243333	0.0479585
AT2G18670	1.657763667	2.58781	4.299503333	3.10209	9.649926667	2.32574	6.852546667	2.02692	0.270021	0.369215667	0.643852333	1.53015	2.27658	1.617433333	2.020436667	1.922320333	2.815793333	16.05196667	2.894406667	3.75569	39.1785	3.799903333
AT2G18680	0	0	0.174846667	0	0.078233	0	0	0.055505667	0	0.0134516	0	0	0	0	0	0.052125667	0.0305138	0.947458	0.020924567	0	1.872526667	0.020348667
AT2G18690	1.093771	3.9772	23.26926667	7.380543333	260.2093333	11.40549	3.078903333	1.097087	1.87822	0.676794333	0.328548667	6.738506667	17.32566667	5.019266667	6.746363333	1.562641333	24.29623333	402.0876667	1.978716667	9.947946667	1466.463333	23.08356667
AT2G18700	18.60853333	15.6208	32.56956667	25.16686667	125.1573333	15.7191	41.96476667	58.60373333	68.47653333	14.90950667	21.64323333	17.50436667	23.39536667	13.80253333	15.82106667	15.59993333	37.56336667	85.12596667	19.8401	31.41503333	20.85433333	15.4246
AT2G18710	7.611263333	8.983666667	6.540923333	5.33644	10.49453333	5.805246667	8.70255	12.60553333	35.9721	8.328303333	8.506356667	7.70576	7.528086667	6.439023333	7.77074	10.98144667	8.645836667	12.40788667	11.27284333	10.67513333	50.2461	7.9039
AT2G18720	0.377228333	0.177341333	0.134159333	0.300040333	0.096429667	0.201012	0.609753	0.265175333	121.5779333	3.1348	1.063242	0.354619	0.226074167	0.231766667	0.94995	0.063058233	0.024208667	0.075831667	0.504739	0.246375333	0.398020667	0.225088667
AT2G18721	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT2G18730	23.25823333	17.5031	39.81513333	71.56736667	37.63303333	19.28746667	18.52566	42.6801	102.8143667	17.49263333	18.9078	16.1716	49.61143333	12.13523667	15.3175	15.27006667	56.8872	65.00183333	11.51605667	24.4897	24.53596667	32.32313333
AT2G18740	11.91316667	34.9261	3.648856667	6.617506667	9.601106667	15.6361	13.33893667	8.757896667	9.84518	30.09903333	49.40256667	23.49393333	16.43188	15.2998	30.8498	52.80583333	30.92373333	17.36456667	80.10316667	29.02736667	6.058136667	20.07943333
AT2G18750	74.6468	32.72576667	19.8178	44.6656	116.28	16.29786667	28.403	104.2873667	47.03456667	33.76916667	25.85553333	23.3326	47.6518	17.1392	22.13956667	45.2006	41.34196667	46.48323333	28.06463333	36.23556667	77.76653333	37.7213
AT2G18760	8.44795	4.403486667	9.63475	5.420546667	12.76831333	4.39044	6.038503333	11.91763333	12.26822333	4.95619	4.867093333	3.693353333	5.32521	4.930766667	5.20354	6.16186	3.360476667	4.77795	3.05732	4.291226667	5.80671	3.464246667
AT2G18770	13.7366	8.93987	18.00746667	13.33126667	10.82321	9.890886667	9.10713	13.90923333	23.91066667	7.080993333	10.01494667	7.978153333	8.246913333	8.56939	9.97627	9.617336667	18.30246667	22.45703333	13.80716667	12.3518	8.37897	10.92984333
AT2G18780	6.923986667	1.72682	4.45659	2.74737	2.215416667	2.143343333	5.687896667	8.378493333	10.92291	13.4341	11.54603333	2.761553333	4.10088	1.391656667	5.66127	5.586386667	1.911926667	0.660389333	3.730293333	3.243306667	3.031373333	3.142106667
AT2G18790	20.09073333	16.04163333	17.31913333	32.1727	76.06213333	13.6782	26.66576667	35.2445	16.80093333	14.24896667	17.4282	13.70556667	18.91076667	13.9882	15.0186	17.82686667	22.36583333	22.82046667	12.81463333	20.47833333	3.86236	15.6127
AT2G18800	18.11373333	1.119485333	0.882232333	0.311209333	4.41339	0.309403	0.590956333	154.483	5.010143333	11.72211	1.059553667	11.78223333	4.071929667	0.210874	2.811083333	1.569586667	34.1398	8.389716667	0.206388333	20.06713333	0.256208	4.40511
AT2G18810	0.159369333	0	0.095637667	0	0	0	0	0.181337	0	0.155018333	0	0	0	0	0	0	0.020198533	0	0	0	0	0
AT2G18830	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT2G18840	13.57623333	14.91386667	46.38703333	20.9723	8.553483333	21.55713333	21.15676667	7.778993333	41.35223333	18.51983333	17.02396667	17.22876667	14.69326667	22.7883	20.61396667	11.35693333	37.75686667	10.05618333	27.48333333	18.10726667	2.94476	14.36573333
AT2G18850	1.67347	7.174746667	1.517626667	1.26702	1.5004	4.080456667	4.80396	3.092903333	2.597276667	4.812816667	5.79429	4.056496667	3.90554	4.532696667	4.83647	9.860493333	2.035756667	0.850299333	11.43608667	3.458363333	2.491646667	3.358023333
AT2G18860	22.77123333	10.853	2.395096667	11.57723333	37.67096667	2.985466667	5.78738	36.3327	14.31176667	6.007343333	1.870635667	5.361866667	7.572256667	1.899276667	3.584753333	17.71786667	21.78483333	29.58656667	12.8112	13.0388	21.3013	28.77873333
AT2G18870	0.356312333	0.108479333	0.549724	0.520268	0.212447	0.327365667	0.160275333	0.422857	0.505524	0.084434	0.152350667	0.213368667	0.251037333	0.306517333	0.079494633	0.079912667	0	0	0	0.041231667	0	0
AT2G18876	5.68097	17.58933333	52.28516667	26.0551	5.169393333	9.336503333	29.25476667	2.204116667	36.15593333	10.95983667	6.996006667	11.09833333	6.422416667	9.83836	10.98355	22.8895	30.51546667	35.00413333	14.97423333	15.6482	7.948556667	14.84453333
AT2G18880	0	0.018830967	0.211409667	0.059581333	0	0.026629533	0.129884967	0.018992333	0.067922333	0	0.044677	0.013219967	0.039234333	0.043655367	0.0064456	0.0109624	0.016245167	0.0102576	0.014913167	0.023648133	0.018982767	0.0143565
AT2G18890	6.89923	1.877273333	0.767865667	2.27976	2.937673333	0.937005	1.186966667	3.62859	32.69956667	7.820973333	0.195800667	2.155833333	6.063086667	2.079756667	2.01191	9.025783333	1.892186667	3.734283333	0.898064667	4.954806667	5.21683	2.406266667
AT2G18900	6.724323333	33.25566667	2.154013333	1.721678667	6.130213333	17.65163333	12.99635333	5.038973333	5.808536667	34.4584	46.1434	27.1712	17.93423333	20.80103333	28.68876667	34.67676667	8.1822	4.028863333	56.14693333	15.9828	16.23126667	13.8103
AT2G18910	14.43206667	16.4325	2.112883333	5.737743333	2.86646	8.033486667	8.14983	4.69928	9.71408	19.6332	15.61993333	6.924043333	6.570743333	5.241686667	12.32976667	23.87853333	14.13183333	4.298076667	21.15503333	9.170293333	12.2398	15.38193333
AT2G18915	6.583963333	3.926433333	4.44236	6.953963333	20.90856667	3.63569	5.252443333	8.932256667	6.141983333	4.09742	4.04293	3.88718	4.435893333	3.948423333	4.134756667	4.289826667	5.49745	8.28414	4.619796667	5.11169	4.35395	4.779346667
AT2G18920	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT2G18930	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
